15.0,6.0,19.0,40.0,28.0,42.0,12.0,29.0,13.0,8.0
83.0,163.0,122.0,136.0,152.0,158.0,151.0,141.0,101.0,167.0
36.0,105.0,121.0,34.0,137.0,62.0,105.0,104.0,64.0,150.0
119.0,111.0,88.0,113.0,161.0,133.0,84.0,126.0,84.0,79.0
32.0,77.0,24.0,37.0,32.0,26.0,19.0,27.0,24.0,16.0
20.0,13.0,33.0,61.0,27.0,51.0,26.0,25.0,18.0,23.0
32.0,51.0,43.0,52.0,75.0,73.0,68.0,59.0,50.0,33.0
511.0,491.0,369.0,449.0,259.0,282.0,356.0,403.0,565.0,428.0
74.0,74.0,138.0,52.0,78.0,53.0,112.0,79.0,36.0,83.0
58.0,44.0,75.0,36.0,33.0,12.0,25.0,35.0,19.0,22.0
