88.0,115.0,124.0,116.0,79.0,107.0,108.0,108.0,97.0,115.0
125.0,123.0,114.0,117.0,86.0,82.0,116.0,122.0,105.0,118.0
89.0,110.0,85.0,115.0,86.0,88.0,72.0,109.0,89.0,89.0
116.0,100.0,111.0,93.0,128.0,77.0,91.0,99.0,115.0,110.0
99.0,106.0,104.0,90.0,81.0,97.0,95.0,69.0,103.0,94.0
76.0,121.0,77.0,76.0,77.0,88.0,95.0,93.0,72.0,91.0
101.0,115.0,86.0,79.0,130.0,105.0,101.0,71.0,83.0,118.0
93.0,130.0,98.0,121.0,112.0,86.0,103.0,113.0,112.0,79.0
99.0,97.0,102.0,92.0,95.0,81.0,87.0,120.0,102.0,87.0
94.0,118.0,131.0,111.0,108.0,81.0,90.0,124.0,96.0,108.0
