104.0,104.0,104.0,108.0,77.0,97.0,95.0,115.0,91.0,99.0
110.0,139.0,124.0,116.0,122.0,120.0,111.0,119.0,121.0,136.0
85.0,115.0,76.0,117.0,96.0,77.0,76.0,107.0,83.0,98.0
97.0,95.0,98.0,105.0,110.0,91.0,88.0,90.0,108.0,99.0
102.0,106.0,122.0,92.0,89.0,84.0,95.0,90.0,91.0,114.0
77.0,125.0,91.0,70.0,86.0,73.0,103.0,105.0,80.0,97.0
101.0,120.0,94.0,100.0,91.0,90.0,104.0,89.0,99.0,96.0
97.0,106.0,101.0,131.0,106.0,88.0,106.0,100.0,95.0,95.0
104.0,97.0,101.0,89.0,97.0,79.0,92.0,107.0,116.0,81.0
103.0,128.0,121.0,82.0,108.0,93.0,88.0,106.0,90.0,94.0
